Msetup: 0.036040, Ma+f: 45.296363, Msolve: 0.133656, Mverify: 0.007140, FGMRES: 0.030102, BLR: 1.000000e-03, rr: 0.010838
Msetup: 0.034826, Ma+f: 54.405277, Msolve: 0.073752, Mverify: 0.005082, FGMRES: 0.024031, BLR: 1.000000e-03, rr: 0.012403
Msetup: 0.034044, Ma+f: 49.083866, Msolve: 0.082466, Mverify: 0.007691, FGMRES: 0.018624, BLR: 1.000000e-03, rr: 0.011182
Msetup: 0.028481, Ma+f: 48.045665, Msolve: 0.078063, Mverify: 0.005164, FGMRES: 0.020461, BLR: 1.000000e-03, rr: 0.011182

Msetup: 0.116493, Ma+f: 12.007396, Msolve: 0.071075, Mverify: 0.007511, FGMRES: 0.034881, BLR: 1.000000e-02, rr: 0.125347
Msetup: 0.140201, Ma+f: 12.798036, Msolve: 0.050851, Mverify: 0.004742, FGMRES: 0.019469, BLR: 1.000000e-02, rr: 0.125511
Msetup: 0.104421, Ma+f: 14.063868, Msolve: 0.044454, Mverify: 0.013520, FGMRES: 0.056919, BLR: 1.000000e-02, rr: 0.129575
Msetup: 0.061379, Ma+f: 11.179178, Msolve: 0.031922, Mverify: 0.004618, FGMRES: 0.015866, BLR: 1.000000e-02, rr: 0.129575
Msetup: 0.053513, Ma+f: 10.588629, Msolve: 0.052574, Mverify: 0.007585, FGMRES: 0.028064, BLR: 1.000000e-02, rr: 0.130059

Msetup: 0.123583, Ma+f: 11.780900, Msolve: 0.054567, Mverify: 0.015863, FGMRES: 0.074752, BLR: 1.000000e-01, rr: 0.166892
Msetup: 0.024510, Ma+f: 11.314500, Msolve: 0.015067, Mverify: 0.005566, FGMRES: 0.022293, BLR: 1.000000e-01, rr: 0.166892
Msetup: 0.038629, Ma+f: 8.111428, Msolve: 0.057429, Mverify: 0.014915, FGMRES: 0.066519, BLR: 1.000000e-01, rr: 0.173844
Msetup: 0.029917, Ma+f: 7.078409, Msolve: 0.039754, Mverify: 0.006707, FGMRES: 0.025303, BLR: 1.000000e-01, rr: 0.171686
Msetup: 0.044249, Ma+f: 11.002342, Msolve: 0.042352, Mverify: 0.008152, FGMRES: 0.036359, BLR: 1.000000e-01, rr: 0.171686
